Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
02-000465,461192,58893,"FISKE HOUSE, ALPINE HOTEL",02-6120-001^Survey Number | CUTTHROAT SALOO^Other Name,,MAIN ST,MARKLEEVILLE,ALPINE,,,MONTGOMERY ST (Corridor),"3S, , 6120-0008-0000",,,,2-29-07,,P,1862,o33114e5,4/5/2018,9/23/2022
02-000466,461193,58894,MARKLEEVILLE GENERAL STORE,02-6120-001^Survey Number,,MAIN ST,MARKLEEVILLE,ALPINE,,,MONTGOMERY ST (Corridor),"5S2, , 6120-0009-0000",,,,2/28/2007,,P,1915,o33114e5,4/5/2018,9/23/2022
,546239,151813,FORMER MARKLEEVILLE FIREHOUSE,,14777,MAIN ST,MARKLEEVILLE,ALPINE,96120,,WATER ST (Corridor),"6X, 09/30/2004, NPS-04001074-0001",,,,,,M,1965,o38119f7,4/5/2018,9/23/2022
02-000471,473984,73123,NEW WEBSTER SCHOOL HOUSE,,,MONTGOMERY ST,MARKLEEVILLE,ALPINE,,,LARAMIE ST (Corridor),"7P, 02/14/1992, SPHI-ALP-003 | 7P, 09/23/1991, 02-0002",,,,,,C,1928,,4/5/2018,9/23/2022
02-000467,461194,58895,,,39,MONTGOMERY ST,MARKLEEVILLE,ALPINE,96120,,MAIN ST (Corridor),"5S2, , 6120-0010-0000",,,,2/27/2005,,P,1920,o33114e5,4/5/2018,9/23/2022
02-000468,461195,58896,,,41,MONTGOMERY ST,MARKLEEVILLE,ALPINE,96120,,SCHOOL STREET (Corridor),"5S2, , 6120-0011-0000",,,,2/27/2006,,P,1920,o33114e5,4/5/2018,9/23/2022
02-000469,461196,58897,,,43,MONTGOMERY ST,MARKLEEVILLE,ALPINE,96120,,,"5S2, , 6120-0012-0000",,,,2/27/2015,,P,1920,o33114e5,4/5/2018,9/23/2022
02-000470,461197,58898,,,47,MONTGOMERY ST,MARKLEEVILLE,ALPINE,96120,,,"5S2, , 6120-0013-0000",,,,2/27/2008,,P,1920,o33114e5,4/5/2018,9/23/2022
02-000474,461187,58888,"OLD LOG JAIL, HISTORIC LOG JAIL",02-6120-001^Survey Number,,SCHOOL ST,MARKLEEVILLE,ALPINE,,,MONTGOMERY ST (Corridor),"3S, , 6120-0003-0000 | 3S, 12/14/1988, 619.0-HP-88-02-001 | 7P, 08/13/1987, SPHI-ALP-001",,,,2/27/2007,,C,1865,o33114e5,4/5/2018,9/23/2022
02-000476,487588,90541,"HISTORICAL COMPLEX (OLD WEBSTER SCHOOL, OLD JAIL,","HISTORICAL COMPLEX (OLD WEBSTER SCHOOL, OLD JAIL, & OLD EQUI^Other Name",,SCHOOL ST,MARKLEEVILLE,ALPINE,,,,"7P, 08/13/1987, SPHI-ALP-001",,,,,,M,,,4/5/2018,9/23/2022
02-000475,461188,58889,"WEBSTER SCHOOLHOUSE, OLD","02-6120-001^Survey Number | OLD WEBSTER SCHOOL, MARKLEEVILLE SCHOOLHOUSE^Other Name",135,SCHOOL ST,MARKLEEVILLE,Alpine,96120,,HISTORICAL COMPLEX (Corridor),"1S, 07/11/2005, NPS-05000071-0000 | 3S, , 6120-0004-0000 | 3S, 07/12/2004, 02-0005 | 7P, 08/13/1987, SPHI-ALP-001",,,,2/27/2007,,,1882,o33114e5,10/9/2019,9/23/2022
,560243,137583,ALPINE STATION BLDG 1,,,SR 4,MARKLEEVILLE,ALPINE,,X,,"6Y, 01/08/2003, DOE-02-03-0001-0000 | 6Y, 01/08/2003, USFS021018A",,,,002-242-30,,F,,o38120d1,4/5/2018,9/23/2022
02-000606,688496,,Chalmers House/Mansion,,,SR 4,Markleeville,Alpine,96120,,,"2S2, 10/17/2018, USFS_2018_1008_001",,,,,,,,o38119e6,12/8/2020,9/23/2022
,684234,,Woodfords Maintenance Station|MR #3,MR #3^Other Name | Woodfords Maintenance Station^Official Historic Name,18935,SR 88,Markleeville,Alpine,96210,,,"6Y, 03/19/2019, CATRA_2019_0219_001 | 6YM, 03/19/2019, CATRA_2019_0219_001",,,,,,,1971,,3/25/2021,9/23/2022
02-000472,461185,58886,"EAST CARSON RIVER BRIDGE, BRIDGE #31-01",,,SR 89,MARKLEEVILLE,ALPINE,,,E. CARSON RIV. (Corridor),"7R, , 6120-0001-0000",,,,,SR 89 MP 13.30,S,1934,o33114e5,4/5/2018,9/23/2022
02-000473,461186,58887,MARKLEEVILLE CREEK BRIDGE,BRIDGE #31-02^Other Name,,SR 89,MARKLEEVILLE,ALPINE,,,MARKLEEVILLE CREEK (Corridor),"7R, , 6120-0002-0000",,,,,SR 89 MP 14.69,S,1929,o33114e5,4/5/2018,9/23/2022
02-000488,573150,122859,MARKLEEVILLE GUARD STATION COMPLEX,,,SR 89,MARKLEEVILLE,ALPINE,,,,"6Y, 01/26/1998, DOE-02-99-0001-9999 | 6Y, 01/26/1998, USFS981221A",,,,,,,1933-1950,,4/5/2018,9/23/2022
02-000463,461190,58891,ALPINE COUNTY COURTHOUSE,02-6120-001^Survey Number,14777,SR 89,MARKLEEVILLE,Alpine,96120,,WATER ST (Corridor),"1S, 09/30/2004, NPS-04001074-0000 | 3S, , 6120-0006-0000 | 3S, 12/23/2003, 02-0004 | 7P, 02/14/1992, SPHI-ALP-002 | 7P, 09/23/1991, 02-0001",,,,2/28/2004,,,1928,o33114e5,10/8/2019,9/23/2022
,509433,188876,TWIN LAKE CABIN,MOKELUMNE RIVER HYDROELECTRIC SYSTEM^Other Name,,USFS RD 9N01,MARKLEEVILLE,Alpine,,X,BLUE LAKES BASI (Corridor),"6Y, 02/27/2012, FERC111219A",,,,002-242-30,,,1930,o38119f7,5/20/2021,9/23/2022
,538378,159468,DINING HALL,CAMP PEACEFUL PINES^Other Name | KITCHEN^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1947,,4/5/2018,9/23/2022
